"id","jurisdiction_id","full_name","level","short_name"
"C0200001","J0200","Court of Appeals for the Second Circuit","F","Second Circuit"
"C0200002","J0200","Court of Appeals for the Sixth Circuit","F","Sixth Circuit"
"C0200003","J0200","Court of Appeals for the Seventh Circuit","F","Seventh Circuit"
"C0200004","J0200","Court of Appeals for the Fourth Circuit","F","Fourth Circuit"
"C0200005","J0200","Court of Appeals for the Ninth Circuit","F","Ninth Circuit"
"C0200006","J0200","Court of Appeals for the Third Circuit","F","Third Circuit"
"C0200007","J0200","Court of Appeals for the Tenth Circuit","F","Tenth Circuit"
"C0200008","J0200","Court of Appeals for the Federal Circuit","F","Federal Circuit"
"C0200009","J0200","Court of Appeals for the D.C. Circuit","F","D.C. Circuit"
"C0200010","J0200","District Court, District of Columbia","FD","District of Columbia"
"C0200011","J0200","United States Court of Federal Claims","FS","Federal Claims"
"C0200012","J0200","United States Judicial Panel on Multidistrict Litigation","FS","Judicial Panel on Multidistrict Litigation"
"C0200013","J0200","District Court, M.D. Florida","FD","M.D. Florida"
"C0200014","J0200","United States District Court","FD","U.S. District Court"
"C0200015","J0200","Supreme Court of the United States","F","Supreme Court"
"C0200016","J0200","Court of Appeals for the Armed Forces","FS","Court of Appeals for the Armed Forces"
"C0200017","J0200","United States Air Force Court of Criminal Appeals","FS","Air Force Court of Criminal Appeals"
"C0200018","J0200","Army Court of Criminal Appeals","FS","Army Court of Criminal Appeals"
"C0200019","J0200","District Court, Northern Mariana Islands","FD","Northern Mariana Islands"
"C0200020","J0200","Court of Appeals for the Eleventh Circuit","F","Eleventh Circuit"
"C0200021","J0200","Court of Appeals for the First Circuit","F","First Circuit"
"C0200022","J0200","United States Customs Court","FS","U.S. Customs Court"
"C0200023","J0200","U.S. Circuit Court for the District of Southern New York","FA","U.S. Circuit Court for the District of Southern New York"
"C0200024","J0200","United States Circuit Court","F","U.S. Circuit Court"
"C0200025","J0200","United States Tax Court","FS","U.S. Tax Court"
"C0200026","J0200","United States Court of Appeals for Veterans Claims","FS","Veterans Claims"
"C0200027","J0200","District Court, Virgin Islands","FD","Virgin Islands"
"C0200028","J0200","United States Board of Tax Appeals","FS","Board of Tax Appeals"
"C0200029","J0200","Navy-Marine Corps Court of Criminal Appeals","FS","Navy-Marine Corps Court of Criminal Appeals"
"C0200030","J0200","U.S. Circuit Court for the District of District of Columbia","FA","U.S. Circuit Court for the District of District of Columbia"
"C0200031","J0200","Court of Appeals for the Eighth Circuit","F","Eighth Circuit"
"C0200032","J0200","U.S. Circuit Court for the District of Eastern Virginia","FA","U.S. Circuit Court for the District of Eastern Virginia"
"C0200033","J0200","Court of Appeals for the Fifth Circuit","F","Fifth Circuit"
"C0200034","J0200","Superior Court of Guam","TA","Superior Court of Guam"
"C0200035","J0200","United States Bankruptcy Court, District of Columbia","FB","District of Columbia"
"C0200036","J0200","United States Bankruptcy Appellate Panel for the Eighth Circuit","FBP","Eighth Circuit"
"C0200037","J0200","United States Court of Military Appeals","FS","United States Court of Military Appeals"
"C0200038","J0200","United States Court of Claims","FS","Court of Claims"
"C0200039","J0200","U.S. Army Court of Military Review","FS","U.S. Army Court of Military Review"
"C0200040","J0200","U.S. Navy-Marine Corps Court of Military Review","FS","U.S. Navy-Marine Corps Court of Military Review"
"C0200041","J0200","U S Air Force Court of Military Review","FS","U S Air Force Court of Military Review"
"C0200042","J0200","U S Coast Guard Court of Criminal Appeals","FS","U S Coast Guard Court of Criminal Appeals"
"C0200043","J0200","Municipal Court of The Virgin Islands","TT","Municipal Court of The Virgin Islands"
"C0200044","J0200","U.S. Circuit Court for the District of Western New York","FA","U.S. Circuit Court for the District of Western New York"
"C0200045","J0200","United States Circuit Court for the Northern District of Florida","F","United States Circuit Court for the Northern District of Florida"
"C0200046","J0200","Court of Customs and Patent Appeals","FS","Customs and Patent Appeals"
"C0200047","J0200","U.S. Circuit Court for the District of California","FA","U.S. Circuit Court for the District of California"
"C0200048","J0200","U.S. Circuit Court for the District of Northern Iowa","FA","U.S. Circuit Court for the District of Northern Iowa"
"C0200049","J0200","U.S. Circuit Court for the District of Southern California","FA","U.S. Circuit Court for the District of Southern California"
"C0200050","J0200","U.S. Circuit Court for the District of Delaware","FD","Circuit Court of Delaware"
"C0200051","J0200","U.S. Circuit Court for the Southern District of Iowa","FA","U.S. Circuit Court for the Southern District of Iowa"
"C0200052","J0200","United States Court of International Trade","FS","Court of International Trade"
"C0200053","J0200","United States Bankruptcy Appellate Panel for the Ninth Circuit","FBP","Ninth Circuit"
"C0200054","J0200","District Court, D. Guam","FD","D. Guam"
"C0200055","J0200","Merit Systems Protection Board","FS","Merit Systems Protection Board"
"C0200056","J0200","Armed Services Board of Contract Appeals","FS","Armed Services Board of Contract Appeals"
"C0200057","J0200","Bankruptcy Appellate Panel of the First Circuit","FBP","First Circuit"
"C0200058","J0200","Bankruptcy Appellate Panel of the Tenth Circuit","FBP","Tenth Circuit"
"C0200059","J0200","Board of Veterans' Appeals","FS","Board of Veterans' Appeals"
"C0200060","J0200","United States Attorneys General","FS","Attorneys General"
"C0200061","J0200","Court Of Appeals Of Indian Territory","FS","Court Of Appeals Of Indian Territory"
"C0200062","J0200","Board of Immigration Appeals","FS","Board of Immigration Appeals"
"C0200063","J0200","Department of Justice Office of Legal Counsel","FS","Office of Legal Counsel"
"C0200064","J0200","Supreme Court Of The Territory Of Dakota","S","Supreme Court of Dakota"
"C0200065","J0200","Emergency Court of Appeals","FS","Emergency Court of Appeals"
"C0200066","J0200","U S Coast Guard Court of Military Review","FS","U S Coast Guard Court of Military Review"
"C0200067","J0200","District Court, Canal Zone","FD","Canal Zone"
"C0200068","J0200","Special Court under the Regional Rail Reorganization Act","FS","Special Court under the Regional Rail Reorganization Act"
"C0203015","J0203","Highlands Justice Court","ST","Highlands Justice Court"
"C0200069","J0200","Temporary Emergency Court of Appeals","FS","Temporary Emergency Court of Appeals"
"C0200070","J0200","Bankruptcy Appellate Panel of the Sixth Circuit","FBP","Sixth Circuit"
"C0200071","J0200","United States Circuit Court for the Southern District of Florida","F","United States Circuit Court for the Southern District of Florida"
"C0200072","J0200","Judicial Council of The Eighth Circuit","FS","Judicial Council of The Eighth Circuit"
"C0200073","J0200","Bankruptcy Appellate Panel of the Second Circuit","FBP","Second Circuit"
"C0200074","J0200","Foreign Intelligence Surveillance Court","FS","Foreign Intelligence Surveillance Court"
"C0200075","J0200","United States Bankruptcy Court, D. Virgin Islands","FB","D. Virgin Islands"
"C0200076","J0200","United States Court of Military Commission Review","FS","Military Commission Review"
"C0200077","J0200","United States Surveyor","FS","United States Surveyor"
"C0200078","J0200","Salina Register and Receiver","SS","Salina Register and Receiver"
"C0200079","J0200","U.S. Circuit Court for the Eastern District of Illinois","FA","U.S. Circuit Court for the Eastern District of Illinois"
"C0200080","J0200","United States Judicial Conference Committee","C","U.S. Judicial Conference Committee"
"C0200081","J0200","Superior Court, S. D. Florida","FS","Superior Court, S. D. Florida"
"C0200082","J0200","Police Court of The Virgin Islands","TT","Police Court of The Virgin Islands"
"C0200083","J0200","Department of Interior","FS","Department of Interior"
"C0200084","J0200","United States Bankruptcy Court, D. Guam","FB","D. Guam"
"C0200085","J0200","Judicial Council of The Ninth Circuit","FS","Judicial Council of The Ninth Circuit"
"C0200086","J0200","Decisions of the Federal Communications Commission","C","Decisions of the Federal Communications Commission"
"C0200087","J0200","United States Judicial Conference Committee on Judicial Conduct and Disability","FS","United States Judicial Conference Committee on Judicial Conduct and Disability"
"C0200088","J0200","Judicial Council of The Fifth Circuit","FS","Judicial Council of The Fifth Circuit"
"C0200089","J0200","Judicial Council of The Second Circuit","FS","Judicial Council of The Second Circuit"
"C0200090","J0200","Foreign Intelligence Surveillance Court of Review","FS","Foreign Intelligence Surveillance Court of Review"
"C0200091","J0200","U.S. Circuit Court for the Mississippi Territory","FA","U.S. Circuit Court for the Mississippi Territory"
"C0200092","J0200","Judicial Council of The Seventh Circuit","FS","Judicial Council of The Seventh Circuit"
"C0200093","J0200","United States Land Office","FS","United States Land Office"
"C0201001","J0201","District Court, S.D. Alabama","FD","S.D. Alabama"
"C0201002","J0201","Supreme Court of Alabama","S","Supreme Court of Alabama"
"C0201003","J0201","Court of Criminal Appeals of Alabama","SA","Court of Criminal Appeals of Alabama"
"C0201004","J0201","Court of Civil Appeals of Alabama","SA","Court of Civil Appeals of Alabama"
"C0201005","J0201","United States Bankruptcy Court, N.D. Alabama","FB","N.D. Alabama"
"C0201006","J0201","District Court, N.D. Alabama","FD","N.D. Alabama"
"C0201007","J0201","District Court, M.D. Alabama","FD","M.D. Alabama"
"C0201008","J0201","U.S. Circuit Court for the District of Northern Alabama","FA","U.S. Circuit Court for the District of Northern Alabama"
"C0201009","J0201","U.S. Circuit Court for the District of Southern Alabama","FA","U.S. Circuit Court for the District of Southern Alabama"
"C0201010","J0201","Montgomery County Circuit Court","ST","Montgomery County Circuit Court"
"C0201011","J0201","Alabama Court of Appeals","SA","Alabama Court of Appeals"
"C0201012","J0201","Madison County Circuit Court","ST","Madison County Circuit Court"
"C0201013","J0201","United States Bankruptcy Court, M.D. Alabama","FB","M.D. Alabama"
"C0201014","J0201","United States Bankruptcy Court, S.D. Alabama","FB","S.D. Alabama"
"C0201015","J0201","Montgomery Circuit Court","ST","Montgomery Circuit Court"
"C0201016","J0201","Henry County Circuit Court","ST","Henry County Circuit Court"
"C0201017","J0201","Montgomery County Probate Court","ST","Montgomery County Probate Court"
"C0201018","J0201","Russell County Circuit Court","ST","Russell County Circuit Court"
"C0201019","J0201","Columbiana Circuit Court","ST","Columbiana Circuit Court"
