"id","name","country","province"
"J0100","Australia, Federal","australia",NULL
"J0101","Australia, Victoria","australia","vic"
"J0102","Australia, Queensland","australia","qld"
"J0103","Australia, New South Wales","australia","nsw"
"J0200","USA, Federal","usa",NULL
"J0201","USA, Alabama","usa","al"
"J0202","USA, Alaska","usa","ak"
"J0203","USA, Arizona","usa","az"
"J0204","USA, Arkansas","usa","ar"
"J0205","USA, California","usa","ca"
"J0206","USA, Colorado","usa","co"
"J0207","USA, Connecticut","usa","ct"
"J0208","USA, Delaware","usa","de"
"J0209","USA, Florida","usa","fl"
"J0210","USA, District of Columbia","usa","dc"
"J0211","USA, Georgia","usa","ga"
"J0212","USA, Guam","usa","gu"
"J0213","USA, Hawaii","usa","hi"
"J0214","USA, Idaho","usa","id"
"J0215","USA, Illinois","usa","il"
"J0216","USA, Indiana","usa","in"
"J0217","USA, Iowa","usa","ia"
"J0218","USA, Kansas","usa","ks"
"J0219","USA, Kentucky","usa","ky"
"J0220","USA, Louisiana","usa","la"
"J0221","USA, Maine","usa","me"
"J0222","USA, Maryland","usa","md"
"J0223","USA, Massachusetts","usa","ma"
"J0224","USA, Michigan","usa","mi"
"J0225","USA, Minnesota","usa","mn"
"J0226","USA, Mississippi","usa","ms"
"J0227","USA, Missouri","usa","mo"
"J0228","USA, Montana","usa","mt"
"J0229","USA, Nebraska","usa","ne"
"J0230","USA, Nevada","usa","nv"
"J0231","USA, New Hampshire","usa","nh"
"J0232","USA, New Jersey","usa","nj"
"J0233","USA, New Mexico","usa","nm"
"J0234","USA, New York","usa","ny"
"J0235","USA, North Carolina","usa","nc"
"J0236","USA, North Dakota","usa","nd"
"J0237","USA, Ohio","usa","oh"
"J0238","USA, Oklahoma","usa","ok"
"J0239","USA, Oregon","usa","or"
"J0240","USA, Pennsylvania","usa","pa"
"J0241","USA, Puerto Rico","usa","pr"
"J0242","USA, Rhode Island","usa","ri"
"J0243","USA, South Carolina","usa","sc"
"J0244","USA, South Dakota","usa","sd"
"J0245","USA, Tennessee","usa","tn"
"J0246","USA, Texas","usa","tx"
"J0247","USA, Utah","usa","ut"
"J0248","USA, Vermont","usa","vt"
"J0249","USA, Virgin Islands","usa","vi"
"J0250","USA, Virginia","usa","va"
"J0251","USA, Washington","usa","wa"
"J0252","USA, West Virginia","usa","wv"
"J0253","USA, Wisconsin","usa","wi"
"J0254","USA, Wyoming","usa","wy"
"J0104","Australia, South Australia","australia","sa"
"J0105","Australia, Western Australia","australia","wa"
"J0106","Australia, Tasmania","australia","tas"
"J0107","Australia, Northern Teritory","australia","nt"
"J0108","Australia, ACT","australia","act"
"J0109","Australia, Norfolk Island","australia","nf"
